YEAR,- all -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlet Type,- multiple -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Jumlah,,,WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINC 1,Kode Produk,Produk,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,Total Result,AVG 12W,AVG 5W,AVG MONTH,Adjustment,,
BMJ,314-000008,Royo Fine size 1 1/4,,,,,,,,,,1,,,,,,,,,,,,,1,1,0,4,4.4,,
,9000067,Royo Unbleached 1 1/4,,,,,,,,,,1,0.15,,,,,,,,,,0.1,,1.25,0.416666666666667,0.1,1.66666666666667,1.83333333333333,,
GDA,300000009,UHT CHOCO KIDS (40 Pcs),1,4.65,10.775,8.025,16.15,3.975,17.325,15.875,15.3,41.375,8.825,7.6,19.45,18.05,27.675,28.95,29.9,27.925,27.775,19.8,18.875,21.575,390.85,23.0166666666667,24.855,92.0666666666667,101.273333333333,,
,300000010,UHT CHOCO TEENS (24 Pcs),36,31.541,46.459,53.626,60.416,15.29,42.584,45.914,46.412,58.793,50.584,40.165,41.626,50.251,46.208,26.962,48.832,41.082,8.708,18.292,25,4,838.745000000001,38.0419166666667,28.3828,152.167666666667,167.384433333333,,
,,UHT CHOCO TEENS (24 Pcs) TP,,,,,,,,,,,,,,5.127,3.085,2.665,2.042,2.293,3.917,1.417,,,20.546,2.93514285714286,2.41725,11.7405714285714,12.9146285714286,,
,300000011,UHT STRAWBERRY KIDS (40 Pcs),1,1.65,10.775,6.975,13.95,3.9,6.425,8.05,6.7,141.225,12.525,8.65,6.325,11.8,17.225,24.175,15.05,16.175,13.275,12.275,17.225,17.5,372.85,24.6604166666667,14.8,98.6416666666667,108.505833333333,,
,300000012,UHT STRAWBERRY TEENS (24 Pcs),28.25,24.124,31.709,47.584,39.5,6,36.625,37.916,29.662,34.458,15,29.249,25.79,43.543,35.874,18.793,26.041,51.122,20.541,17.417,10.458,8.75,618.406,27.3571666666667,25.1158,109.428666666667,120.371533333333,,
,300000013,UHT VANILLA KIDS (40 Pcs),1,1.5,5.2,3.25,4.3,3.15,3.7,4.75,3.5,239.325,6.425,3.45,8.5,12.3,8.4,12.4,3.75,12.05,4.3,12.1,10,10,373.35,27.75,8.44,111,122.1,,
,300000033,UHT LACTOSE FREE ORIGINAL (24 Pcs),1,3,4.5,2,1,2,,2.041,5,4.5,3,2,5.5,2.75,0.5,2.5,1,4.5,2,2,4,3,57.791,2.85416666666667,2.7,11.4166666666667,12.5583333333333,,
,300000034,UHT FULL CREAM (12 Pcs) - CONSUMER,37.001,9.012,,,135.002,33.596,84.672,87.505,14.091,7.169,47.001,144.836,39.25,33,4.166,122,26.587,72.501,6,19,86.75,37,1046.139,50.6883333333333,42.1676,202.753333333333,223.028666666667,,
,300000037,UHT FULL CREAM CHOCO (12 Pcs),,,,,,0.25,0.997,2.25,,3.417,1.417,1.917,1.25,,1.083,2,,2,1,1,,,18.581,1.676,1.33333333333333,6.704,7.3744,,
,300000039,UHT CHOCO KIDS (45 Pcs),4,5,11,8,10,10,13,8,12,11,18,28,11,4,3,1,2,,1,,3,1,164,8.2,2,32.8,36.08,,
,300000040,UHT STRAWBERRY KIDS (45 Pcs),3,3,5,6,5,7,12,3,11,12,5,18,13,5,,1,2,,1,,1,1,114,6.44444444444445,1.33333333333333,25.7777777777778,28.3555555555556,,
,300000041,UHT VANILLA KIDS (45 Pcs),2,2,10,3,,8,10,4,5,1,4,6,3,1,,,,,,,,,59,3,0,12,13.2,,
,300000100,UHT FULL CREAM TEENS (24 Pcs),2,5.833,13.458,14.583,10,8,8.579,13,6.835,17.459,9.917,8.167,6.041,15.416,7.25,11.583,17.335,16.421,12.084,7.5,13.919,2,227.38,11.9243333333333,13.4518,47.6973333333333,52.4670666666667,,
,,UHT FULL CREAM TEENS (24 Pcs) TP,,,,,,,,,,,,,,,,,,,,1.499,3.707,2.209,7.415,2.603,2.603,10.412,11.4532,,
,300000105,UHT MILKSHAKE CHOCO MACHIATO TEENS (24 Pcs),,,17.17,16.503,9.51700000000001,4.871,8.07100000000001,2.994,5.166,19.129,5.375,23.083,1.832,7.627,7.62,9.788,2,5.503,7.834,8.335,15,15.5,192.918,9.42716666666667,7.7344,37.7086666666667,41.4795333333333,,
,300000106,UHT MILKSHAKE STRAWBERRY CHEESE TEENS (24 Pcs),,,18.963,16.011,9.51500000000001,4.372,7.07200000000001,2.994,5.544,15.755,4.04,10.833,3.667,3.916,8.329,8.624,12.834,7.127,7.333,14.418,4.002,1,166.349,8.4065,9.1428,33.626,36.9886,,
,300000107,UHT MILKSHAKE COOKIES CREAM TEENS (24 Pcs),,,20.4579999999999,22.3759999999999,10.599,8.371,18.984,8.828,5.166,21.795,11.009,31.925,9.165,9.292,12.91,16.99,8.004,5.5,26.332,16.122,46,5.003,314.829,17.9203333333333,20.3916,71.6813333333333,78.8494666666667,,
PTB,30000092,5DAYS DELI MILKY CHOCO (20 Pcs),9.3,40.1,29.35,25.15,23.45,21.3,16.25,11.6,2.65,8.3,11.6,27.05,31.8,15.3,21.2,16.6,12.5,4.5,33,18.95,22.5,19.85,422.300000000002,18.6083333333333,18.29,74.4333333333333,81.8766666666667,20,
,30000093,5DAYS DELI HAPPY BERRY (20 Pcs),9.29999999999998,29.3,32.2500000000001,21.5000000000001,12.8,9.4,18,,,8.75,14.55,24.75,22.45,11.9,8.15,17.6,10.5,4,10,6.25,5.4,7,283.849999999999,12.025,7.23,48.1,52.91,30,
,40398,5DAYS MIX BERRIES (40 Pcs),10.35,18.175,19.4,21.2,34.925,18.95,17.675,22.4,11.775,12.725,8.4,27.8,16.15,19.775,12.725,19.1,14.45,20,11.525,6.525,26.375,12.95,383.35,16.2958333333333,15.775,65.1833333333333,71.7016666666667,10,
,40399,5DAYS CHOCOLATE (40 Pcs),10.2,22.1,23.775,28.275,37.45,18.625,21.975,26.3,15.8,20.45,22.35,47.6,17.6,17.5,28.9,21.1,25.425,23.85,15.05,13.35,42.175,17.85,517.7,24.6125,23.97,98.45,108.295,15,
,40414,5DAYS CREAMY CHEESE (40 Pcs),7.2,13.1,17.7,13.325,33.3,15.7,14.825,23.725,4.325,6.925,11.1,15.95,12.375,20.275,12.35,12.6,16.25,16.4,13.25,7.1,21.725,12.35,321.85,13.8583333333333,14.945,55.4333333333333,60.9766666666667,15,
,40435,5DAYS FAMILY PACK BAG (8x5),,0.625,5,1,6.375,4.75,3.375,2,1.125,4.375,2.375,,2.375,3.625,0.75,2.375,,1,4.25,3.75,0.375,0.75,50.25,2.525,2.34375,10.1,11.11,,
,40462,5DAYS PANDAN SRIKAYA (40 Pcs),6.55,5.675,6.825,12.925,25.8,9.95,8.275,6.125,1.625,4.15,1.975,21,7.8,5.45,9.9,8.6,5.925,5.525,10.4,1.6,14.55,7.8,188.425,8.07291666666667,7.6,32.2916666666667,35.5208333333333,20,
,40477,5DAYS CHOCO BANANA (40 Pcs),,,,,,,,,,,1.1,3.5,0.75,0.6,1,1.125,2.3,1.3,0.55,0.15,1.1,0.55,14.025,1.225,1.08,4.9,5.39,10,
SKP BEV,30000121,CAF BOLD DARK CAPP RTG (12x10),,,,,,,,,,,,,,5.333,,,,,,,,,5.333,5.333,0,21.332,23.4652,,
,30000208,CAF RTD MILKY ESPRESSO (12),68.667,92,369.75,98.916,164.417,87.083,112.5,99.833,108.5,114.334,82.333,134.332,141.667,192.666,210.5,111.251,332,107.501,89,132.917,152.416,144.499,3147.082,150.076416666667,162.7668,600.305666666667,660.336233333333,,
,30000209,CAF RTD OAT CAPPUCCINO (12),73.667,97.5,273.834,144.583,293.083,91.416,94.75,75.5,148.25,148.001,99.75,128.915,148.25,197.334,257.916,136.084,341.917,174.418,106.417,134.334,156.583,155.25,3477.752,169.159916666667,182.7338,676.639666666667,744.303633333333,,
,30000298,CAF RTD OAT MARIE LATTE (12),,,,,,,2.5,26,232.499,67.75,19.75,42.582,102.333,128.833,59.749,44.167,126.25,53.916,36.75,40.25,111.25,51.999,1146.578,69.465,73.6832,277.86,305.646,,
,30000299,CAF RTD SPANISH LATTE (12),,,,,,,2.5,24,225.249,63.583,19.083,38.75,99.5,126.249,59.583,36.251,118.75,44.833,31.25,37.666,99.25,49.5,1075.997,64.5623333333333,66.3498,258.249333333333,284.074266666667,,
SKP KOPI,30000002,CAF CH HAZELNUT RTG (20x10),5.55,0.7,,5.5,25.85,9.25,15.35,13.05,20.55,7,7.25,29.95,6.35,17.95,9.85,9.05,23.65,6,10.25,8.35,30.1,6.55,268.100000000001,13.8125,15.67,55.25,60.775,,
,30000006,CAF CH HAZELNUT PCH (20x10),,0.6,0.3,2.3,,,0.3,7,1.15,2,8,2,1,,3,3.15,2,0.15,0.3,11.45,,0.3,45,3.305,3.475,13.22,14.542,,
